text,label,conceptual_level,note
a mine,GEONOUN,locale,geonouns; case_insensitive; curated
administrative region,GEONOUN,locale,geonouns; case_insensitive; curated
administrative regions,GEONOUN,locale,geonouns; case_insensitive; generated inflection
adobe house,GEONOUN,locale,geonouns; case_insensitive; curated
adobe houses,GEONOUN,locale,geonouns; case_insensitive; generated inflection
aegean island,GEONOUN,locale,geonouns; case_insensitive; curated
aegean islands,GEONOUN,locale,geonouns; case_insensitive; generated inflection
aerie,GEONOUN,locale,geonouns; case_insensitive; curated
aeries,GEONOUN,locale,geonouns; case_insensitive; generated inflection
aery,GEONOUN,locale,geonouns; case_insensitive; curated
affluent,GEONOUN,locale,geonouns; case_insensitive; curated
affluents,GEONOUN,locale,geonouns; case_insensitive; generated inflection
agricultural colonies,GEONOUN,locale,geonouns; case_insensitive; generated inflection
agricultural colony,GEONOUN,locale,geonouns; case_insensitive; curated
agricultural facilities,GEONOUN,locale,geonouns; case_insensitive; generated inflection
agricultural facility,GEONOUN,locale,geonouns; case_insensitive; curated
agricultural reserve,GEONOUN,locale,geonouns; case_insensitive; curated
agricultural reserves,GEONOUN,locale,geonouns; case_insensitive; generated inflection
agricultural school,GEONOUN,locale,geonouns; case_insensitive; curated
agricultural schools,GEONOUN,locale,geonouns; case_insensitive; generated inflection
airbase,GEONOUN,locale,geonouns; case_insensitive; curated
airbases,GEONOUN,locale,geonouns; case_insensitive; generated inflection
airfield,GEONOUN,locale,geonouns; case_insensitive; curated
airfields,GEONOUN,locale,geonouns; case_insensitive; generated inflection
airport,GEONOUN,locale,geonouns; case_insensitive; curated
airports,GEONOUN,locale,geonouns; case_insensitive; generated inflection
aisle,GEONOUN,locale,geonouns; case_insensitive; curated
aisles,GEONOUN,locale,geonouns; case_insensitive; curated
aisleses,GEONOUN,locale,geonouns; case_insensitive; generated inflection
alcazar,GEONOUN,locale,geonouns; case_insensitive; curated
alcazars,GEONOUN,locale,geonouns; case_insensitive; generated inflection
alehouse,GEONOUN,locale,geonouns; case_insensitive; curated
alehouses,GEONOUN,locale,geonouns; case_insensitive; generated inflection
alley,GEONOUN,locale,geonouns; case_insensitive; curated
alleys,GEONOUN,locale,geonouns; case_insensitive; curated
alleyses,GEONOUN,locale,geonouns; case_insensitive; generated inflection
alluvial flat,GEONOUN,locale,geonouns; case_insensitive; curated
alluvial flats,GEONOUN,locale,geonouns; case_insensitive; generated inflection
alluvial plain,GEONOUN,locale,geonouns; case_insensitive; curated
alluvial plains,GEONOUN,locale,geonouns; case_insensitive; generated inflection
alp,GEONOUN,locale,geonouns; case_insensitive; curated
alpine glacier,GEONOUN,locale,geonouns; case_insensitive; curated
alpine glaciers,GEONOUN,locale,geonouns; case_insensitive; generated inflection
alpine type of glacier,GEONOUN,locale,geonouns; case_insensitive; curated
alpine type of glaciers,GEONOUN,locale,geonouns; case_insensitive; generated inflection
alps,GEONOUN,locale,geonouns; case_insensitive; generated inflection
ambiance,GEONOUN,locale,geonouns; case_insensitive; curated
ambiances,GEONOUN,locale,geonouns; case_insensitive; generated inflection
ambience,GEONOUN,locale,geonouns; case_insensitive; curated
ambiences,GEONOUN,locale,geonouns; case_insensitive; generated inflection
amenities,GEONOUN,locale,geonouns; case_insensitive; curated
amenitieses,GEONOUN,locale,geonouns; case_insensitive; generated inflection
American boat,GEONOUN,locale,geonouns; case_insensitive; curated
american boats,GEONOUN,locale,geonouns; case_insensitive; generated inflection
amphitheater,GEONOUN,locale,geonouns; case_insensitive; curated
amphitheaters,GEONOUN,locale,geonouns; case_insensitive; generated inflection
amusement park,GEONOUN,locale,geonouns; case_insensitive; curated
amusement parks,GEONOUN,locale,geonouns; case_insensitive; generated inflection
anabranch,GEONOUN,locale,geonouns; case_insensitive; curated
anabranches,GEONOUN,locale,geonouns; case_insensitive; generated inflection
anchorage,GEONOUN,locale,geonouns; case_insensitive; curated
anchorages,GEONOUN,locale,geonouns; case_insensitive; generated inflection
ancient road,GEONOUN,locale,geonouns; case_insensitive; curated
ancient roads,GEONOUN,locale,geonouns; case_insensitive; generated inflection
ancient site,GEONOUN,locale,geonouns; case_insensitive; curated
ancient sites,GEONOUN,locale,geonouns; case_insensitive; generated inflection
ancient wall,GEONOUN,locale,geonouns; case_insensitive; curated
ancient walls,GEONOUN,locale,geonouns; case_insensitive; generated inflection
annex,GEONOUN,locale,geonouns; case_insensitive; curated
annexes,GEONOUN,locale,geonouns; case_insensitive; generated inflection
antechamber,GEONOUN,locale,geonouns; case_insensitive; curated
antechambers,GEONOUN,locale,geonouns; case_insensitive; generated inflection
anteroom,GEONOUN,locale,geonouns; case_insensitive; curated
anterooms,GEONOUN,locale,geonouns; case_insensitive; generated inflection
anthill,GEONOUN,locale,geonouns; case_insensitive; curated
anthills,GEONOUN,locale,geonouns; case_insensitive; generated inflection
apartment,GEONOUN,locale,geonouns; case_insensitive; curated
apartment building,GEONOUN,locale,geonouns; case_insensitive; curated
apartment buildings,GEONOUN,locale,geonouns; case_insensitive; generated inflection
apartment house,GEONOUN,locale,geonouns; case_insensitive; curated
apartment houses,GEONOUN,locale,geonouns; case_insensitive; generated inflection
apartments,GEONOUN,locale,geonouns; case_insensitive; curated
apartmentses,GEONOUN,locale,geonouns; case_insensitive; generated inflection
apiaries,GEONOUN,locale,geonouns; case_insensitive; generated inflection
apiary,GEONOUN,locale,geonouns; case_insensitive; curated
apple orchard,GEONOUN,locale,geonouns; case_insensitive; curated
apple orchards,GEONOUN,locale,geonouns; case_insensitive; generated inflection
apron,GEONOUN,locale,geonouns; case_insensitive; curated
aprons,GEONOUN,locale,geonouns; case_insensitive; generated inflection
aquaculture facilities,GEONOUN,locale,geonouns; case_insensitive; generated inflection
aquaculture facility,GEONOUN,locale,geonouns; case_insensitive; curated
aqueduct,GEONOUN,locale,geonouns; case_insensitive; curated
aqueducts,GEONOUN,locale,geonouns; case_insensitive; generated inflection
aquifer,GEONOUN,locale,geonouns; case_insensitive; curated
aquifers,GEONOUN,locale,geonouns; case_insensitive; generated inflection
arbor,GEONOUN,locale,geonouns; case_insensitive; curated
arbors,GEONOUN,locale,geonouns; case_insensitive; curated
arborses,GEONOUN,locale,geonouns; case_insensitive; generated inflection
arcade,GEONOUN,locale,geonouns; case_insensitive; curated
arcades,GEONOUN,locale,geonouns; case_insensitive; generated inflection
arch,GEONOUN,locale,geonouns; case_insensitive; curated
archeological site,GEONOUN,locale,geonouns; case_insensitive; curated
archeological sites,GEONOUN,locale,geonouns; case_insensitive; generated inflection
arches,GEONOUN,locale,geonouns; case_insensitive; curated
archeses,GEONOUN,locale,geonouns; case_insensitive; generated inflection
archipelago,GEONOUN,locale,geonouns; case_insensitive; curated
archipelagos,GEONOUN,locale,geonouns; case_insensitive; generated inflection
architect,GEONOUN,locale,geonouns; case_insensitive; curated
architects,GEONOUN,locale,geonouns; case_insensitive; curated
architectses,GEONOUN,locale,geonouns; case_insensitive; generated inflection
architectural,GEONOUN,locale,geonouns; case_insensitive; curated
architectural structure,GEONOUN,locale,geonouns; case_insensitive; curated
architectural structures,GEONOUN,locale,geonouns; case_insensitive; generated inflection
architecturals,GEONOUN,locale,geonouns; case_insensitive; generated inflection
architecture,GEONOUN,locale,geonouns; case_insensitive; curated
architectures,GEONOUN,locale,geonouns; case_insensitive; generated inflection
archive,GEONOUN,locale,geonouns; case_insensitive; curated
archives,GEONOUN,locale,geonouns; case_insensitive; generated inflection
archway,GEONOUN,locale,geonouns; case_insensitive; curated
archways,GEONOUN,locale,geonouns; case_insensitive; generated inflection
arctic land,GEONOUN,locale,geonouns; case_insensitive; curated
arctic lands,GEONOUN,locale,geonouns; case_insensitive; generated inflection
area,GEONOUN,locale,geonouns; case_insensitive; curated
areas,GEONOUN,locale,geonouns; case_insensitive; generated inflection
arena,GEONOUN,locale,geonouns; case_insensitive; curated
arena theater,GEONOUN,locale,geonouns; case_insensitive; curated
arena theaters,GEONOUN,locale,geonouns; case_insensitive; generated inflection
arenas,GEONOUN,locale,geonouns; case_insensitive; generated inflection
arete,GEONOUN,locale,geonouns; case_insensitive; curated
aretes,GEONOUN,locale,geonouns; case_insensitive; generated inflection
arroyo,GEONOUN,locale,geonouns; case_insensitive; curated
arroyos,GEONOUN,locale,geonouns; case_insensitive; generated inflection
arrugado,GEONOUN,locale,geonouns; case_insensitive; curated
arrugados,GEONOUN,locale,geonouns; case_insensitive; generated inflection
art school,GEONOUN,locale,geonouns; case_insensitive; curated
art schools,GEONOUN,locale,geonouns; case_insensitive; generated inflection
artificial island,GEONOUN,locale,geonouns; case_insensitive; curated
artificial islands,GEONOUN,locale,geonouns; case_insensitive; generated inflection
artificial lake,GEONOUN,locale,geonouns; case_insensitive; curated
artificial lakes,GEONOUN,locale,geonouns; case_insensitive; generated inflection
artillery range,GEONOUN,locale,geonouns; case_insensitive; curated
artillery ranges,GEONOUN,locale,geonouns; case_insensitive; generated inflection
ascent,GEONOUN,locale,geonouns; case_insensitive; curated
ascents,GEONOUN,locale,geonouns; case_insensitive; generated inflection
asparagus bed,GEONOUN,locale,geonouns; case_insensitive; curated
asparagus beds,GEONOUN,locale,geonouns; case_insensitive; generated inflection
asphalt lake,GEONOUN,locale,geonouns; case_insensitive; curated
asphalt lakes,GEONOUN,locale,geonouns; case_insensitive; generated inflection
assembly place,GEONOUN,locale,geonouns; case_insensitive; curated
assembly places,GEONOUN,locale,geonouns; case_insensitive; generated inflection
astronomical station,GEONOUN,locale,geonouns; case_insensitive; curated
astronomical stations,GEONOUN,locale,geonouns; case_insensitive; generated inflection
asylum,GEONOUN,locale,geonouns; case_insensitive; curated
asylums,GEONOUN,locale,geonouns; case_insensitive; generated inflection
athletic field,GEONOUN,locale,geonouns; case_insensitive; curated
athletic fields,GEONOUN,locale,geonouns; case_insensitive; generated inflection
atoll,GEONOUN,locale,geonouns; case_insensitive; curated
atolls,GEONOUN,locale,geonouns; case_insensitive; curated
atollses,GEONOUN,locale,geonouns; case_insensitive; generated inflection
atomic center,GEONOUN,locale,geonouns; case_insensitive; curated
atomic centers,GEONOUN,locale,geonouns; case_insensitive; generated inflection
atrium,GEONOUN,locale,geonouns; case_insensitive; curated
atriums,GEONOUN,locale,geonouns; case_insensitive; generated inflection
attic,GEONOUN,locale,geonouns; case_insensitive; curated
attics,GEONOUN,locale,geonouns; case_insensitive; curated
atticses,GEONOUN,locale,geonouns; case_insensitive; generated inflection
auberge,GEONOUN,locale,geonouns; case_insensitive; curated
auberges,GEONOUN,locale,geonouns; case_insensitive; generated inflection
automat,GEONOUN,locale,geonouns; case_insensitive; curated
automatic teller machine,GEONOUN,locale,geonouns; case_insensitive; curated
automatic teller machines,GEONOUN,locale,geonouns; case_insensitive; generated inflection
automats,GEONOUN,locale,geonouns; case_insensitive; generated inflection
aviaries,GEONOUN,locale,geonouns; case_insensitive; generated inflection
aviary,GEONOUN,locale,geonouns; case_insensitive; curated
back countries,GEONOUN,locale,geonouns; case_insensitive; generated inflection
back country,GEONOUN,locale,geonouns; case_insensitive; curated
backcountries,GEONOUN,locale,geonouns; case_insensitive; generated inflection
backcountry,GEONOUN,locale,geonouns; case_insensitive; curated
backroom,GEONOUN,locale,geonouns; case_insensitive; curated
backrooms,GEONOUN,locale,geonouns; case_insensitive; generated inflection
backwater,GEONOUN,locale,geonouns; case_insensitive; curated
backwaters,GEONOUN,locale,geonouns; case_insensitive; generated inflection
backwoods,GEONOUN,locale,geonouns; case_insensitive; curated
backwoodses,GEONOUN,locale,geonouns; case_insensitive; generated inflection
backyard,GEONOUN,locale,geonouns; case_insensitive; curated
backyards,GEONOUN,locale,geonouns; case_insensitive; curated
backyardses,GEONOUN,locale,geonouns; case_insensitive; generated inflection
badlands,GEONOUN,locale,geonouns; case_insensitive; curated
badlandses,GEONOUN,locale,geonouns; case_insensitive; generated inflection
badminton court,GEONOUN,locale,geonouns; case_insensitive; curated
badminton courts,GEONOUN,locale,geonouns; case_insensitive; generated inflection
bagnio,GEONOUN,locale,geonouns; case_insensitive; curated
bagnios,GEONOUN,locale,geonouns; case_insensitive; generated inflection
bailey,GEONOUN,locale,geonouns; case_insensitive; curated
baileys,GEONOUN,locale,geonouns; case_insensitive; generated inflection
balconies,GEONOUN,locale,geonouns; case_insensitive; curated
balconieses,GEONOUN,locale,geonouns; case_insensitive; generated inflection
balcony,GEONOUN,locale,geonouns; case_insensitive; curated
baling station,GEONOUN,locale,geonouns; case_insensitive; curated
baling stations,GEONOUN,locale,geonouns; case_insensitive; generated inflection
ball field,GEONOUN,locale,geonouns; case_insensitive; curated
ball fields,GEONOUN,locale,geonouns; case_insensitive; generated inflection
ballroom,GEONOUN,locale,geonouns; case_insensitive; curated
ballrooms,GEONOUN,locale,geonouns; case_insensitive; curated
ballroomses,GEONOUN,locale,geonouns; case_insensitive; generated inflection
baltic republic,GEONOUN,locale,geonouns; case_insensitive; curated
baltic republics,GEONOUN,locale,geonouns; case_insensitive; generated inflection
baltic state,GEONOUN,locale,geonouns; case_insensitive; curated
baltic states,GEONOUN,locale,geonouns; case_insensitive; generated inflection
balustrade,GEONOUN,locale,geonouns; case_insensitive; curated
balustrades,GEONOUN,locale,geonouns; case_insensitive; generated inflection
banana plantation,GEONOUN,locale,geonouns; case_insensitive; curated
banana plantations,GEONOUN,locale,geonouns; case_insensitive; generated inflection
banister,GEONOUN,locale,geonouns; case_insensitive; curated
banisters,GEONOUN,locale,geonouns; case_insensitive; generated inflection
bank,GEONOUN,locale,geonouns; case_insensitive; curated
banks,GEONOUN,locale,geonouns; case_insensitive; curated
bankses,GEONOUN,locale,geonouns; case_insensitive; generated inflection
barbecue pit,GEONOUN,locale,geonouns; case_insensitive; curated
barbecue pits,GEONOUN,locale,geonouns; case_insensitive; generated inflection
barn,GEONOUN,locale,geonouns; case_insensitive; curated
barns,GEONOUN,locale,geonouns; case_insensitive; curated
barnses,GEONOUN,locale,geonouns; case_insensitive; generated inflection
barracks,GEONOUN,locale,geonouns; case_insensitive; curated
barrackses,GEONOUN,locale,geonouns; case_insensitive; generated inflection
barren,GEONOUN,locale,geonouns; case_insensitive; curated
barrens,GEONOUN,locale,geonouns; case_insensitive; generated inflection
barricade,GEONOUN,locale,geonouns; case_insensitive; curated
barricaded,GEONOUN,locale,geonouns; case_insensitive; curated
barricadeds,GEONOUN,locale,geonouns; case_insensitive; generated inflection
barricades,GEONOUN,locale,geonouns; case_insensitive; curated
barricadeses,GEONOUN,locale,geonouns; case_insensitive; generated inflection
barrier island,GEONOUN,locale,geonouns; case_insensitive; curated
barrier islands,GEONOUN,locale,geonouns; case_insensitive; generated inflection
barrier reef,GEONOUN,locale,geonouns; case_insensitive; curated
barrier reefs,GEONOUN,locale,geonouns; case_insensitive; generated inflection
barrio,GEONOUN,locale,geonouns; case_insensitive; curated
barrios,GEONOUN,locale,geonouns; case_insensitive; generated inflection
bars,GEONOUN,locale,geonouns; case_insensitive; generated inflection
baseball diamond,GEONOUN,locale,geonouns; case_insensitive; curated
baseball diamonds,GEONOUN,locale,geonouns; case_insensitive; generated inflection
baseball field,GEONOUN,locale,geonouns; case_insensitive; curated
baseball fields,GEONOUN,locale,geonouns; case_insensitive; generated inflection
basement,GEONOUN,locale,geonouns; case_insensitive; curated
basements,GEONOUN,locale,geonouns; case_insensitive; curated
basementses,GEONOUN,locale,geonouns; case_insensitive; generated inflection
basilica,GEONOUN,locale,geonouns; case_insensitive; curated
basilicas,GEONOUN,locale,geonouns; case_insensitive; generated inflection
basin,GEONOUN,locale,geonouns; case_insensitive; curated
basins,GEONOUN,locale,geonouns; case_insensitive; generated inflection
basketball court,GEONOUN,locale,geonouns; case_insensitive; curated
basketball courts,GEONOUN,locale,geonouns; case_insensitive; generated inflection
bathhouse,GEONOUN,locale,geonouns; case_insensitive; curated
bathhouses,GEONOUN,locale,geonouns; case_insensitive; generated inflection
bathing machine,GEONOUN,locale,geonouns; case_insensitive; curated
bathing machines,GEONOUN,locale,geonouns; case_insensitive; generated inflection
bathyal district,GEONOUN,locale,geonouns; case_insensitive; curated
bathyal districts,GEONOUN,locale,geonouns; case_insensitive; generated inflection
bathyal zone,GEONOUN,locale,geonouns; case_insensitive; curated
bathyal zones,GEONOUN,locale,geonouns; case_insensitive; generated inflection
battlefield,GEONOUN,locale,geonouns; case_insensitive; curated
battlefields,GEONOUN,locale,geonouns; case_insensitive; generated inflection
battleground,GEONOUN,locale,geonouns; case_insensitive; curated
battlegrounds,GEONOUN,locale,geonouns; case_insensitive; generated inflection
bawdyhouse,GEONOUN,locale,geonouns; case_insensitive; curated
bawdyhouses,GEONOUN,locale,geonouns; case_insensitive; generated inflection
bay,GEONOUN,locale,geonouns; case_insensitive; curated
bayou,GEONOUN,locale,geonouns; case_insensitive; curated
bayous,GEONOUN,locale,geonouns; case_insensitive; generated inflection
bays,GEONOUN,locale,geonouns; case_insensitive; curated
bayses,GEONOUN,locale,geonouns; case_insensitive; generated inflection
beach,GEONOUN,locale,geonouns; case_insensitive; curated
beach house,GEONOUN,locale,geonouns; case_insensitive; curated
beach houses,GEONOUN,locale,geonouns; case_insensitive; generated inflection
beach ridge,GEONOUN,locale,geonouns; case_insensitive; curated
beach ridges,GEONOUN,locale,geonouns; case_insensitive; generated inflection
beaches,GEONOUN,locale,geonouns; case_insensitive; curated
beacheses,GEONOUN,locale,geonouns; case_insensitive; generated inflection
beachfront,GEONOUN,locale,geonouns; case_insensitive; curated
beachfronts,GEONOUN,locale,geonouns; case_insensitive; generated inflection
beacon,GEONOUN,locale,geonouns; case_insensitive; curated
beacons,GEONOUN,locale,geonouns; case_insensitive; generated inflection
beck,GEONOUN,locale,geonouns; case_insensitive; curated
becks,GEONOUN,locale,geonouns; case_insensitive; generated inflection
bed and breakfast,GEONOUN,locale,geonouns; case_insensitive; curated
bed and breakfasts,GEONOUN,locale,geonouns; case_insensitive; generated inflection
bed of flowers,GEONOUN,locale,geonouns; case_insensitive; curated
bed of flowerses,GEONOUN,locale,geonouns; case_insensitive; generated inflection
bed of roses,GEONOUN,locale,geonouns; case_insensitive; curated
bed of roseses,GEONOUN,locale,geonouns; case_insensitive; generated inflection
bed-and-breakfast,GEONOUN,locale,geonouns; case_insensitive; curated
bed-and-breakfasts,GEONOUN,locale,geonouns; case_insensitive; generated inflection
bedlam,GEONOUN,locale,geonouns; case_insensitive; curated
bedlams,GEONOUN,locale,geonouns; case_insensitive; generated inflection
bee house,GEONOUN,locale,geonouns; case_insensitive; curated
bee houses,GEONOUN,locale,geonouns; case_insensitive; generated inflection
beehive,GEONOUN,locale,geonouns; case_insensitive; curated
beehives,GEONOUN,locale,geonouns; case_insensitive; curated
beehiveses,GEONOUN,locale,geonouns; case_insensitive; generated inflection
beer garden,GEONOUN,locale,geonouns; case_insensitive; curated
beer gardens,GEONOUN,locale,geonouns; case_insensitive; generated inflection
belvedere,GEONOUN,locale,geonouns; case_insensitive; curated
belvederes,GEONOUN,locale,geonouns; case_insensitive; generated inflection
ben,GEONOUN,locale,geonouns; case_insensitive; curated
bench,GEONOUN,locale,geonouns; case_insensitive; curated
benches,GEONOUN,locale,geonouns; case_insensitive; generated inflection
bens,GEONOUN,locale,geonouns; case_insensitive; generated inflection
bergs,GEONOUN,locale,geonouns; case_insensitive; generated inflection
berm,GEONOUN,locale,geonouns; case_insensitive; curated
berms,GEONOUN,locale,geonouns; case_insensitive; generated inflection
bethel,GEONOUN,locale,geonouns; case_insensitive; curated
bethels,GEONOUN,locale,geonouns; case_insensitive; generated inflection
bight,GEONOUN,locale,geonouns; case_insensitive; curated
bights,GEONOUN,locale,geonouns; case_insensitive; curated
bightses,GEONOUN,locale,geonouns; case_insensitive; generated inflection
billabong,GEONOUN,locale,geonouns; case_insensitive; curated
billabongs,GEONOUN,locale,geonouns; case_insensitive; generated inflection
bioscope,GEONOUN,locale,geonouns; case_insensitive; curated
bioscopes,GEONOUN,locale,geonouns; case_insensitive; generated inflection
bird sanctuaries,GEONOUN,locale,geonouns; case_insensitive; generated inflection
bird sanctuary,GEONOUN,locale,geonouns; case_insensitive; curated
birthplace,GEONOUN,locale,geonouns; case_insensitive; curated
birthplaces,GEONOUN,locale,geonouns; case_insensitive; generated inflection
bistro,GEONOUN,locale,geonouns; case_insensitive; curated
bistros,GEONOUN,locale,geonouns; case_insensitive; generated inflection
bivouac,GEONOUN,locale,geonouns; case_insensitive; curated
bivouacs,GEONOUN,locale,geonouns; case_insensitive; generated inflection
blind corner,GEONOUN,locale,geonouns; case_insensitive; curated
blind corners,GEONOUN,locale,geonouns; case_insensitive; generated inflection
block,GEONOUN,locale,geonouns; case_insensitive; curated
blocks,GEONOUN,locale,geonouns; case_insensitive; generated inflection
blowhole,GEONOUN,locale,geonouns; case_insensitive; curated
blowholes,GEONOUN,locale,geonouns; case_insensitive; curated
blowholeses,GEONOUN,locale,geonouns; case_insensitive; generated inflection
blowout,GEONOUN,locale,geonouns; case_insensitive; curated
blowouts,GEONOUN,locale,geonouns; case_insensitive; curated
blowoutses,GEONOUN,locale,geonouns; case_insensitive; generated inflection
bluff,GEONOUN,locale,geonouns; case_insensitive; curated
bluffs,GEONOUN,locale,geonouns; case_insensitive; generated inflection
board,GEONOUN,locale,geonouns; case_insensitive; curated
boarding house,GEONOUN,locale,geonouns; case_insensitive; curated
boarding houses,GEONOUN,locale,geonouns; case_insensitive; generated inflection
boardinghouse,GEONOUN,locale,geonouns; case_insensitive; curated
boardinghouses,GEONOUN,locale,geonouns; case_insensitive; generated inflection
boardroom,GEONOUN,locale,geonouns; case_insensitive; curated
boardrooms,GEONOUN,locale,geonouns; case_insensitive; generated inflection
boards,GEONOUN,locale,geonouns; case_insensitive; generated inflection
boat,GEONOUN,locale,geonouns; case_insensitive; curated
boathouse,GEONOUN,locale,geonouns; case_insensitive; curated
boathouses,GEONOUN,locale,geonouns; case_insensitive; generated inflection
boats,GEONOUN,locale,geonouns; case_insensitive; generated inflection
boatyard,GEONOUN,locale,geonouns; case_insensitive; curated
boatyards,GEONOUN,locale,geonouns; case_insensitive; generated inflection
body of water,GEONOUN,locale,geonouns; case_insensitive; curated
body of waters,GEONOUN,locale,geonouns; case_insensitive; generated inflection
bog,GEONOUN,locale,geonouns; case_insensitive; curated
bogs,GEONOUN,locale,geonouns; case_insensitive; curated
bogses,GEONOUN,locale,geonouns; case_insensitive; generated inflection
bomb site,GEONOUN,locale,geonouns; case_insensitive; curated
bomb sites,GEONOUN,locale,geonouns; case_insensitive; generated inflection
bonanza,GEONOUN,locale,geonouns; case_insensitive; curated
bonanzas,GEONOUN,locale,geonouns; case_insensitive; generated inflection
booby hatch,GEONOUN,locale,geonouns; case_insensitive; curated
booby hatches,GEONOUN,locale,geonouns; case_insensitive; generated inflection
boom town,GEONOUN,locale,geonouns; case_insensitive; curated
boom towns,GEONOUN,locale,geonouns; case_insensitive; generated inflection
boondocks,GEONOUN,locale,geonouns; case_insensitive; curated
boondockses,GEONOUN,locale,geonouns; case_insensitive; generated inflection
booth,GEONOUN,locale,geonouns; case_insensitive; curated
booths,GEONOUN,locale,geonouns; case_insensitive; curated
boothses,GEONOUN,locale,geonouns; case_insensitive; generated inflection
bordello,GEONOUN,locale,geonouns; case_insensitive; curated
bordellos,GEONOUN,locale,geonouns; case_insensitive; generated inflection
border post,GEONOUN,locale,geonouns; case_insensitive; curated
border posts,GEONOUN,locale,geonouns; case_insensitive; generated inflection
borderland,GEONOUN,locale,geonouns; case_insensitive; curated
borderlands,GEONOUN,locale,geonouns; case_insensitive; generated inflection
borough,GEONOUN,locale,geonouns; case_insensitive; curated
boroughs,GEONOUN,locale,geonouns; case_insensitive; generated inflection
borrow pit,GEONOUN,locale,geonouns; case_insensitive; curated
borrow pits,GEONOUN,locale,geonouns; case_insensitive; generated inflection
boulder field,GEONOUN,locale,geonouns; case_insensitive; curated
boulder fields,GEONOUN,locale,geonouns; case_insensitive; generated inflection
boundary marker,GEONOUN,locale,geonouns; case_insensitive; curated
boundary markers,GEONOUN,locale,geonouns; case_insensitive; generated inflection
bowling alley,GEONOUN,locale,geonouns; case_insensitive; curated
bowling alleys,GEONOUN,locale,geonouns; case_insensitive; generated inflection
bowling greens,GEONOUN,locale,geonouns; case_insensitive; generated inflection
brae,GEONOUN,locale,geonouns; case_insensitive; curated
braes,GEONOUN,locale,geonouns; case_insensitive; generated inflection
branch,GEONOUN,locale,geonouns; case_insensitive; curated
branches,GEONOUN,locale,geonouns; case_insensitive; generated inflection
brasserie,GEONOUN,locale,geonouns; case_insensitive; curated
brasseries,GEONOUN,locale,geonouns; case_insensitive; generated inflection
